Date,Open,High,Low,MA5,MA20,MA73,Close
2003/12/1,1.203398,1.204007,1.194401,1.208897,1.2279631,1.249124507,1.196501
2003/12/2,1.196101,1.210903,1.1946,1.213997,1.2305577,1.249653288,1.208897
2003/12/3,1.209,1.213003,1.2077,1.2172166,1.23285755,1.249838315,1.212298
2003/12/4,1.212004,1.214403,1.204398,1.2185762,1.23519275,1.250042521,1.208094
2003/12/5,1.207802,1.219096,1.206593,1.2214382,1.23769775,1.25028926,1.218695
2003/12/8,1.216797,1.224005,1.215407,1.2232788,1.2396727,1.250344164,1.222001
2003/12/9,1.222105,1.227702,1.219795,1.225278,1.24200755,1.250575603,1.224995
2003/12/10,1.224905,1.226603,1.216205,1.226718,1.24436295,1.250601753,1.219096
2003/12/11,1.219096,1.223496,1.212298,1.2309392,1.2466129,1.25081411,1.222404
2003/12/12,1.222703,1.230603,1.2213,1.234918,1.2493676,1.250979904,1.227898
2003/12/15,1.218695,1.232499,1.217804,1.2370378,1.2522673,1.250788178,1.231997
2003/12/16,1.231406,1.235895,1.230497,1.2386174,1.25437225,1.250537466,1.232195
2003/12/17,1.231997,1.242005,1.229997,1.240179,1.25669215,1.250270342,1.240202
2003/12/18,1.240202,1.244199,1.236598,1.2411984,1.25793715,1.249947082,1.242298
2003/12/19,1.242205,1.243503,1.235102,1.2416994,1.2588271,1.24962111,1.238497
2003/12/22,1.235697,1.244601,1.235697,1.2426388,1.2588924,1.249522521,1.239895
2003/12/23,1.239895,1.267202,1.238804,1.2443384,1.258668,1.24947611,1.240003
2003/12/24,1.240095,1.247194,1.240003,1.2473166,1.2596132,1.249104836,1.245299
2003/12/25,1.245702,1.247007,1.244307,1.2500572,1.2606434,1.248502137,1.244803
2003/12/26,1.245004,1.2471,1.242699,1.2527354,1.26202865,1.248067932,1.243194
2003/12/29,1.243394,1.250797,1.242993,1.2557354,1.2627842,1.247703685,1.248393
2003/12/30,1.248595,1.256297,1.248299,1.2597964,1.26280445,1.247146247,1.254894
2003/12/31,1.255004,1.264894,1.253007,1.2632382,1.2632445,1.246512151,1.259002
2004/1/1,1.259002,1.260796,1.247396,1.2642568,1.26250435,1.245804,1.258194
2004/1/2,1.258194,1.262802,1.252693,1.2681176,1.2616448,1.244921918,1.258194
2004/1/5,1.263903,1.269406,1.263695,1.2736572,1.26107535,1.244052137,1.268698
2004/1/6,1.268907,1.280803,1.267202,1.2747368,1.25980555,1.243093205,1.272103
2004/1/7,1.272394,1.273999,1.262499,1.2760348,1.2588751,1.242109507,1.264095
